player_name,team,league,line_score,stat_type,start_time,updated_at,scrape_time
Brice Sensabaugh,Jazz,NBA,12.5,Points,2025-10-29T21:10:00-04:00,2025-10-29T08:25:57-04:00,2025-10-29 16:58:22
Donovan Clingan,Trail Blazers,NBA,9.5,Points,2025-10-29T21:10:00-04:00,2025-10-28T23:30:05-04:00,2025-10-29 16:58:22
Jerami Grant,Trail Blazers,NBA,15.5,Points,2025-10-29T21:10:00-04:00,2025-10-29T11:51:58-04:00,2025-10-29 16:58:22
Jrue Holiday,Trail Blazers,NBA,14.5,Points,2025-10-29T21:10:00-04:00,2025-10-29T09:40:12-04:00,2025-10-29 16:58:22
Jusuf Nurkić,Jazz,NBA,7.5,Points,2025-10-29T21:10:00-04:00,2025-10-29T09:20:48-04:00,2025-10-29 16:58:22
Keyonte George,Jazz,NBA,17.5,Points,2025-10-29T21:10:00-04:00,2025-10-28T23:32:17-04:00,2025-10-29 16:58:22
Kyle Filipowski,Jazz,NBA,10.0,Points,2025-10-29T21:10:00-04:00,2025-10-29T11:41:57-04:00,2025-10-29 16:58:22
Lauri Markkanen,Jazz,NBA,23.0,Points,2025-10-29T21:10:00-04:00,2025-10-29T08:25:03-04:00,2025-10-29 16:58:22
Shaedon Sharpe,Trail Blazers,NBA,21.0,Points,2025-10-29T21:10:00-04:00,2025-10-29T08:25:30-04:00,2025-10-29 16:58:22
Svi Mykhailiuk,Jazz,NBA,9.5,Points,2025-10-29T21:10:00-04:00,2025-10-28T23:32:17-04:00,2025-10-29 16:58:22
Toumani Camara,Trail Blazers,NBA,11.5,Points,2025-10-29T21:10:00-04:00,2025-10-29T09:21:17-04:00,2025-10-29 16:58:22
Walker Kessler,Jazz,NBA,11.5,Points,2025-10-29T21:10:00-04:00,2025-10-29T01:10:56-04:00,2025-10-29 16:58:22
Aaron Gordon,Nuggets,NBA,16.5,Points,2025-10-29T21:10:00-04:00,2025-10-29T10:01:24-04:00,2025-10-29 16:58:22
Cameron Johnson,Nuggets,NBA,11.0,Points,2025-10-29T21:10:00-04:00,2025-10-28T21:54:31-04:00,2025-10-29 16:58:22
Christian Braun,Nuggets,NBA,12.5,Points,2025-10-29T21:10:00-04:00,2025-10-29T00:51:11-04:00,2025-10-29 16:58:22
Herbert Jones,Pelicans,NBA,9.5,Points,2025-10-29T21:10:00-04:00,2025-10-28T18:51:48-04:00,2025-10-29 16:58:22
Jamal Murray,Nuggets,NBA,22.5,Points,2025-10-29T21:10:00-04:00,2025-10-29T08:41:27-04:00,2025-10-29 16:58:22
Jonas Valančiūnas,Nuggets,NBA,6.5,Points,2025-10-29T21:10:00-04:00,2025-10-29T12:50:44-04:00,2025-10-29 16:58:22
Jordan Poole,Pelicans,NBA,19.0,Points,2025-10-29T21:10:00-04:00,2025-10-28T19:33:40-04:00,2025-10-29 16:58:22
Nikola Jokic,Nuggets,NBA,26.5,Points,2025-10-29T21:10:00-04:00,2025-10-29T09:11:25-04:00,2025-10-29 16:58:22
Saddiq Bey,Pelicans,NBA,10.5,Points,2025-10-29T21:10:00-04:00,2025-10-28T18:55:49-04:00,2025-10-29 16:58:22
Trey Murphy III,Pelicans,NBA,16.5,Points,2025-10-29T21:10:00-04:00,2025-10-29T07:25:49-04:00,2025-10-29 16:58:22
Yves Missi,Pelicans,NBA,7.5,Points,2025-10-29T21:10:00-04:00,2025-10-28T18:53:56-04:00,2025-10-29 16:58:22
Zion Williamson,Pelicans,NBA,24.5,Points,2025-10-29T21:10:00-04:00,2025-10-29T09:02:11-04:00,2025-10-29 16:58:22
Alperen Sengun,Rockets,NBA,22.0,Points,2025-10-29T18:40:00-04:00,2025-10-29T07:26:14-04:00,2025-10-29 16:58:22
Amen Thompson,Rockets,NBA,15.5,Points,2025-10-29T18:40:00-04:00,2025-10-29T07:40:49-04:00,2025-10-29 16:58:22
Brandon Ingram,Raptors,NBA,19.5,Points,2025-10-29T18:40:00-04:00,2025-10-29T06:52:56-04:00,2025-10-29 16:58:22
Collin Murray-Boyles,Raptors,NBA,8.5,Points,2025-10-29T18:40:00-04:00,2025-10-28T23:12:51-04:00,2025-10-29 16:58:22
Immanuel Quickley,Raptors,NBA,16.5,Points,2025-10-29T18:40:00-04:00,2025-10-29T12:55:04-04:00,2025-10-29 16:58:22
Jabari Smith Jr.,Rockets,NBA,12.5,Points,2025-10-29T18:40:00-04:00,2025-10-28T23:09:55-04:00,2025-10-29 16:58:22
Kevin Durant,Rockets,NBA,25.5,Points,2025-10-29T18:40:00-04:00,2025-10-28T23:09:55-04:00,2025-10-29 16:58:22
RJ Barrett,Raptors,NBA,17.5,Points,2025-10-29T18:40:00-04:00,2025-10-28T23:12:51-04:00,2025-10-29 16:58:22
Reed Sheppard,Rockets,NBA,9.5,Points,2025-10-29T18:40:00-04:00,2025-10-28T23:09:55-04:00,2025-10-29 16:58:22
Sandro Mamukelashvili,Raptors,NBA,9.5,Points,2025-10-29T18:40:00-04:00,2025-10-29T10:58:15-04:00,2025-10-29 16:58:22
Scottie Barnes,Raptors,NBA,17.5,Points,2025-10-29T18:40:00-04:00,2025-10-28T23:12:51-04:00,2025-10-29 16:58:22
Cam Thomas,Nets,NBA,23.5,Points,2025-10-29T19:40:00-04:00,2025-10-28T19:50:24-04:00,2025-10-29 16:58:22
Dyson Daniels,Hawks,NBA,10.5,Points,2025-10-29T19:40:00-04:00,2025-10-29T05:10:06-04:00,2025-10-29 16:58:22
Jalen Johnson,Hawks,NBA,18.5,Points,2025-10-29T19:40:00-04:00,2025-10-28T19:58:17-04:00,2025-10-29 16:58:22
Kristaps Porziņģis,Hawks,NBA,17.5,Points,2025-10-29T19:40:00-04:00,2025-10-29T10:48:59-04:00,2025-10-29 16:58:22
Luke Kennard,Hawks,NBA,6.5,Points,2025-10-29T19:40:00-04:00,2025-10-29T11:34:36-04:00,2025-10-29 16:58:22
Michael Porter,Nets,NBA,19.0,Points,2025-10-29T19:40:00-04:00,2025-10-28T19:53:23-04:00,2025-10-29 16:58:22
Nickeil Alexander-Walker,Hawks,NBA,12.5,Points,2025-10-29T19:40:00-04:00,2025-10-28T19:47:10-04:00,2025-10-29 16:58:22
